(2, 1, 16, 10000, 'SUCCESS')
(3, 1, 16, 10000, 'FAIL')
(3, 1, 32, 10000, 'SUCCESS')
(4, 1, 16, 10000, 'FAIL')
(4, 1, 32, 10000, 'FAIL')
(4, 1, 64, 10000, 'SUCCESS')
(5, 1, 16, 10000, 'FAIL')
(5, 1, 32, 10000, 'FAIL')
(5, 1, 64, 10000, 'FAIL')
(5, 1, 128, 10000, 'SUCCESS')
(6, 1, 16, 10000, 'FAIL')
(6, 1, 32, 10000, 'FAIL')
(6, 1, 64, 10000, 'FAIL')
(6, 1, 128, 10000, 'FAIL')
(6, 1, 256, 10000, 'SUCCESS')
(7, 1, 16, 10000, 'FAIL')
(7, 1, 32, 10000, 'FAIL')
(7, 1, 64, 10000, 'FAIL')
(7, 1, 128, 10000, 'FAIL')
(7, 1, 256, 10000, 'SUCCESS')
(8, 1, 16, 10000, 'FAIL')
(8, 1, 32, 10000, 'FAIL')
(8, 1, 64, 10000, 'FAIL')
(8, 1, 128, 10000, 'FAIL')
(8, 1, 256, 10000, 'SUCCESS')
(9, 1, 16, 10000, 'FAIL')
(9, 1, 32, 10000, 'FAIL')
(9, 1, 64, 10000, 'FAIL')
(9, 1, 128, 10000, 'FAIL')
(9, 1, 256, 10000, 'FAIL')
(9, 1, 512, 10000, 'SUCCESS')
(10, 1, 512, 10000, 'SUCCESS')
(11, 1, 512, 10000, 'SUCCESS')
(12, 1, 512, 10000, 'SUCCESS')
(13, 1, 512, 10000, 'SUCCESS')
(14, 1, 512, 10000, 'FAIL')
(14, 1, 1024, 10000, 'SUCCESS')
(15, 1, 512, 10000, 'FAIL')
(15, 1, 1024, 10000, 'SUCCESS')
(16, 1, 512, 10000, 'FAIL')
(16, 1, 1024, 10000, 'SUCCESS')
(17, 1, 512, 10000, 'FAIL')
(17, 1, 1024, 10000, 'SUCCESS')
(18, 1, 512, 10000, 'FAIL')
(18, 1, 1024, 10000, 'SUCCESS')
(19, 1, 512, 10000, 'FAIL')
(19, 1, 1024, 10000, 'FAIL')
(19, 1, 2048, 10000, 'SUCCESS')
